source_doc_id,cited_doc_id,type_of_reference,details
R1-2406825,R1-2405564,Citation,Updated RAN1 UE features list for Rel-18 NR after RAN1#117.
R1-2405165,TR 38.869,Technical Report,Study on LP-WUS/WUR for NR
R1-2403876,RAN1#116bis Chairman’s Notes,Citation,References agreements from RAN1 #116bis meeting
R1-2406258,R1-2310681,Citation,Reply LS on Data Collection Requirements and Assumptions.
R1-2404866,38.211,Technical Specification,Physical channels and modulation specifications
R1-2409050,R1-2408518,Contribution,Correction on rate matching in TS 38.212
R1-2405652,38.213,Technical Specification,NR Physical layer procedures for control
R1-2401688,38.214,Technical Specification Amendment,Modified clause 5.2.2.5 for CSI reporting conditions
R1-2409625,TR38.843,Technical Report,Study on AI/ML for NR air interface (v2.0.1)
R1-2404274,TR 38.843,Technical Report,Study on AI/ML for NR air interface (Nov 2023)
R1-2402854,arXiv:2312.15174,Citation,The Bridge Toward 6G: 5G-Advanced Evolution in 3GPP Release 19
R1-2406683,38.214,Technical Specification,Physical layer procedures for data
R1-2405517,RP-234078,Objective Definition,Original WID objective for RedCap NTN support
R1-2404769,RP-234039,Citation,Approved WID on AI/ML for NR air interface.
R1-2403618,R1-2401943,LS Question,Question set on parallel Tx capability applicability
R1-2402727,38.211,Technical Specification,3GPP TS 38.211 (PRACH configuration tables)
R1-2407798,38.843,Technical Report,Rel-18 Study on AI/ML for NR air interface
R1-2405275,TR 228.840,Technical Report,SA1 technical report on Ambient IoT use cases and requirements
R1-240XXXX,RP-242348,Technical Report,Defines scope of ISAC SI study
R1-2401141,R1-2312574,LS,LS on Rel-18 RAN1 UE features list
R1-2400489,R1-2400487,Contribution,Discusses Ambient IoT device architectures.
R1-2409717,RP-234069,SID,Approved Rel-19 study on ISAC channel modeling.
R1-2400739,RP-234058,Study Item Description,Approved SID for Ambient IoT in NR Study
R1-2410546,R1-2407770,Related Work,FL Summary #4 on NR-NTN downlink coverage enhancements
R1-2407855,RP-242394,Revised WID,Revised work item description for Rel-19 MIMO
R1-2403319,R1-2401940,Liaison Statement,RAN2's questions about RAN1 parameter list
R1-2407093,3GPP TS 38.214,Specification,"Defines physical layer procedures for data, including QCL assumptions."
R1-2401992,R1-2403403,Contribution,ESA's proposal on phased-array antenna characteristics.
R1-2402348,R1-2401948 (R2-2401890),Liaison Statement,RAN2 LS recommending 2-step RACH support for eRedCap
R1-2402231,RP-234039,Work Item Description,New WID on AI/ML for NR Air Interface
R1-2404975,38.212,Citation,TS 38.212 clauses on SCI format 2-A and multiplexing
R1-2406283,RAN1#117,Meeting notes,Agreements on SBFD TX/RX procedures and CSI reporting.
38.213 CR (DRAFT),38.321,Technical Specification,Defines MAC layer protocols including PRACH power ramping.
R1-2407654,R1-2407271,Meeting Summary,RAN1#118 summary on positioning accuracy enhancements
R1-2402192,TS 38.213,Technical Specification,Physical layer procedures for control
R1-2409423,TR 38.869,Technical Report,Study on low-power wake-up signal and receiver for NR
R1-2410319,TR 38.901,Technical Report,Base document for channel model validation
R1-2401010,38.213,Technical Specification,3GPP TS 38.213: NR Physical layer procedures for control
R1-2408125,R1-2407589,Liaison Statement,RAN2 query about IUC Scheme 2 and random selection coexistence
R1-2403518,R1-2402058,Contribution,ZTE's input on MIMO evolution
R1-2400686,RP-234056,Work Item Description,New WID for Low-power wake-up signal and receiver for NR (LP-WUS/WUR).
R1-2405872,RAN1 Chair’s Notes,Previous agreement,Agreement from RAN#117 on 3TX UE capabilities
R1-2401123,RP-234065,Work Item Citation,New WID on network energy savings approved at RAN#102
R1-2400338,TR 38.869,Technical Report,Study on low-power wake up signal and receiver for NR
R1-2404149,38.211,Technical Specification,Base specification for NR physical channels and modulation.
R1-2404308,R1-2403821,Meeting Report,RAN1#116 bis conclusions on collision cases
R1-2402095,RP-234039,WID Citation,New WID for NR_AIML_Air Interface approved at RAN#102
R1-2402583,Chairman's Notes RAN1#116,Meeting Minutes,Agreements on evaluation assumptions for OCC schemes.
R1-2407178,3GPP TS 38.212,Specification Clause,Clause 7.3.1.1.2 (PTRS-DMRS association rules)
R1-2400731,R1-2400732,Contribution,Samsung's companion paper on random access in SBFD
R1-2406830,TR 38.843,Informative,Study on AI/ML for NR air interface
R1-2409538,RP-241614,Work Item Description,Revised WID on NR duplex evolution endorsing SBFD objectives.
S5-246299,TS 32.422,Technical Specification,MDT measurement collection standard
R1-2405127,Chairman notes of RAN1#116bis,Citation,References agreements from RAN1 #116bis on on-demand SSB scenarios.
R1-2405402,38.214,Technical Specification,Defines SL PRS resource pool parameters
R1-2400590,TR 38.869,Technical Report,Study on low-power wake-up signal and receiver for NR
R1-2405497,R1-2403896,Contribution,Tejas Networks' proposal on SSB triggering
R1-2407585,RP-242399,Work Item Description,Reference for AI/ML for NR Air Interface work scope
R1-2407264,R1-2405836,CR,Huawei's CR on Rel-17 MBS broadcast scrambling
S5-242198,S5-241318,Incoming Liaison Statement,Original LS on OAM requirements for UE location verification
R1-2403765,R1-2401985,Contribution,Nokia's proposal on SSB-less SCell operation with inter-band CA.
R1-2405919,RP-234056,Work Item Description,New WID for Low-power wake-up signal and receiver for NR
R1-2401908,TS 38.214,Technical Specification,"Base specification modified by this CR (Clauses 5.1.6.5, 6.2.1, 8.4.4)"
R1-2404378,38.213,Technical Specification,Base specification being modified by this CR
R1-2410370,TR 38.901,Technical Report,Channel model for frequency spectrum above 6 GHz
R1-2401770,38.213,Technical Specification,3GPP TS 38.213 (Rel-17) - NR Physical Layer Procedures
R1-2410540,RAN1 #118 Chair's Notes,Previous Agreement,Baseline for L1-RSRP reporting format and Event-2 definition
R1-2404850,R1-2403791,CR Proposal,Optimized PRACH configuration proposal
38.214 CR DRAFT rev,38.211,Technical Specification,Physical channels and modulation
R1-2402823,R1-2401661,Citation,FL summary 1 for on-demand SIB1 agreements.
R1-2406439,RP-240775,WID,Original WID for NR NTN Phase 3
R1-2401258,RP-234058,Study Item Description,Rel-19 A-IoT SID defining study objectives
R1-2401624,R1-2400893,CR,Rel-17 CR for NCD-SSB antenna ports
R2-2401969,R4-2317609,Liaison Statement,RAN4's technical proposal for four-band switching
R1-2401625,R1-2400725,Background,Rel-19 NR MIMO Phase 5 initial assessment
R1-2403718,R1-2402010,Contribution,Huawei's considerations on 7-24 GHz channel model
R1-2400445,RP-234056,Work Item Definition,New WID for LP-WUS/WUR specifying objectives and requirements
R1-2402705,RP-223549,Study Item Description,New SID on Ambient IoT solutions in NR
R1-2403347,TS 38.214,Citation,Defines unified TCI state framework
R1-2404440,3GPP TR 38.869 V2.0.0,Technical Report,Rel-18 Study Item on LP-WUS signal design candidates
R1-2401487,R1-2400138,Contribution,Huawei proposal on center frequency definition
R1-2409947,RAN1#118bis Chairman's Notes,Meeting Report,Previous agreements on UL-WUS configuration
R1-2403627,38.211,Technical Specification,Physical channels and modulation specification
R1-2408512,38.133,Technical Specification,NR requirements for support of radio resource management
R1-2408775,R1-2406922,Contribution,NTT DOCOMO's prior discussion on AI/ML for CSI prediction (Aug. 2024).
R1-2403842,TR 38.848,Technical Report,Initial study on Ambient IoT in NR (Release 18).
R1-2409766,TR37.885,Technical Report,Specifies mobility models for vehicular scenarios.
S5-240816,28.310,Technical Specification,Management and orchestration; Energy efficiency of 5G
R1-2408953,38.214,Technical Specification,Physical layer procedures for data (Release 17)
R1-2404491,TR 38.843,Technical Report,"Study on AI/ML for NR air interface, basis for Rel-19 work."
R1-2400416,38.214,Specification,TS 38.214: NR Physical layer procedures for data.
R1-2410363,3GPP TR 38.869,Technical Report,Study on LP-WUS scenarios and requirements.
R1-2407738,RP-242354,Work Item Description,Revised WID for Network Energy Savings Enhancements
R1-2402781,38.214,Technical Specification,Target specification for parameter name corrections
R1-2408184,R1-2408184,Draft CR,Proposes adjustments to repetitions for Coverage Enhancement.
R1-2400099,TR 38.864,Technical Report,Study on network energy savings for NR.
R1-2410015,TR38.901,Baseline Channel Model,Referenced for existing penetration loss models and spatial consistency parameters
R1-2405526,R1-2304218,LS,LS to RAN4 on multi-RB set S-SSB transmission
R1-2405262,RP-240779,Work Item Description,Revised WID for NR NTN enhancements (Rel-18).
R1-2405266,R1-2403791,Draft CR,Proposes new PRACH configuration table for FR2-NTN
R1-2407065,RAN 1 #116-bis Chair Notes,Meeting Report,Agreements on CSI compression options from April 2024 meeting
R1-2406354,3GPP TS 38.215,Technical Specification,Physical layer measurements specification
R1-2409712,R1-2409713,Companion contribution,Discusses on-demand SIB1 for idle/inactive UEs
R1-2409247,R1-2408006,Contribution,Joint CATT/Nokia contribution on transform precoding alignment.
R1-2403650,NR_MIMO_Ph5,Work Item,Rel-19 MIMO work item for codebook enhancements
R1-2402472,RAN1#116,Previous Agreement,Chairman notes from RAN1#116 meeting
R1-2402840,RP-234007,Work Item Description,New WID: NR MIMO Phase 5 from RAN#102
R1-2403954,TR 38.848,Technical Report,Study on Ambient IoT in RAN
R1-2401506,R1-2400130,Contribution,Proposes configurable steps for NR SL resource exclusion in Step 5a.
R1-24xxxxx,R1-2410736,Contribution,FL summary #3 for AI/ML in beam management
R1-2408300,RAN1#118,Meeting Agreement,Previous agreements on OCC techniques
R1-2400537,R1-2312581,Session Notes,Agreements from RAN1#115 on UE features for MC enhancements
R1-2402126,RP-240789,Work Item Description,WID revision for NR duplex evolution including SBFD
R1-2405359,R1-2404084,Technical Contribution,Samsung's proposal for SRS overlap handling in TS 38.214 Clause 6.2.1
R1-2403700,R1-2402022,Contribution,UE features for NR sidelink evolution by Huawei
R1-2401165,TS37.213,Technical Specification,Specification for NR shared spectrum channel access
R1-2401008,RP-234007,Background Reference,New WID for NR MIMO Phase 5 approved at RAN #102
R1-2406092,RP-234058,Technical Report,New SID on Ambient IoT in NR (Release 18)
R1-2408524,R1-2402915,Contribution,Previous discussion on ISAC channel modeling from RAN1#116b
R1-2404076,38.214,Technical Specification,Physical layer procedures for data channels
R1-2406332,38.213,Technical Specification,NR Physical layer procedures for control
R1-2404538,METIS D6.1,External Project Deliverable,Madrid grid scenario for urban simulations
R1-2401042,RP-234039,Work Item Description,Approved WID for AI/ML in NR air interface including positioning enhancements
R1-2409658,R1-2409352,Response to LS,Original query about UE-to-UE CLI scenarios from RAN4
R1-2402177,TR 22.837,Feasibility Study,Feasibility study on Integrated Sensing and Communication
R1-2400214,R1-2304322,LS (Liaison Statement),RAN2 LS on RACH-less Handover procedures and questions.
R1-2405601,38.213,Technical Specification,NR Physical layer procedures for control
R1-2408930,TR 38.901,Channel Model Reference,Industrial factory pathloss models for InF-DH/DL scenarios
R1-2410459,R2-2409242,Liaison Statement,LS on OCC for CB-msg3 NPUSCH
R1-2400357,3GPP TR 38.821,Technical Report,NTN channel models and 0.1ppm frequency offset assumption
R1-2402547,TR 38.848,Technical Report,Study on Ambient IoT in RAN (v18.0.0)
R1-2401410,38.133,Technical Specification,Referenced for RF retuning time requirements
R1-2403664,TR 38.901,Methodology Reference,Channel model baseline for NR systems
R1-2400886,TR 38.331,Technical Report,RRC protocol specifications for measurement gap configurations.
R1-2406884,RP-234039,Work Item Description,New WID on AI/ML for NR Air Interface
R1-2406428,TS 38.133,Technical Specification,RRM measurement requirements
R1-2403275,TR 38.864,Technical Report,Study on network energy savings techniques evaluation
R1-2403220,R1-2400007,Liaison Statement,LS on UL Tx Switching parameters and configurations
R1-2400497,RP-234056,Work Item Dependency,New WID on low-power Wake-up Signal and Receiver for NR approved at RAN#102
R1-2409147,38.331,Technical Specification,Defines atg-gNB-Location IE for gNB configuration
R1-2402016,RP-240826,Citation,Revised SID on Ambient IoT in NR
R1-2404403,RP-240826,Revised SID,Revised Study Item Description on Ambient IoT in NR
R1-2401073,38.331,Technical Specification,Radio Resource Control protocol specification
R1-2404945,38.213,Technical Specification,Physical layer procedures for control (v18.2.0)
R1-2406711,RP-234039,Work Item Description,New WID on AI/ML for NR Air Interface
R4-2414459,R4-2414460.zip,Attachment,Compiled RAN4 UE feature list for Rel-18.
R1-2403647,RP-233637,LS,Revised WID on Enhanced support of reduced capability NR devices.
R1-2403704,R1-2401679/R2-2401834,LS from RAN2,Feedback on UE capability signaling design.
R1-2403762,38.214,Technical Specification,Physical layer procedures for data channel
R1-2407504,R1-2406993,Change Request,CR introducing new capability signaling
R1-24XXXXX,RAN1#118bis,Previous Meeting,Agreements on collision case definitions
R1-2408816,RP-240901,Procedural,Status of time budgets for RAN working groups.
R1-2409180,38.213,Technical Specification,Physical layer procedures for control channel
R1-2410008,RAN1 #118 Chairman Notes,Previous Meeting Agreement,Collision handling agreements for case 3
R1-2407505,R1-2401776,Previous Reply,Initial RAN1 response on UL Tx switching capabilities
R1-2403339,RAN1#116 Report,Meeting Report,Previous conclusions on GNSS operations for IoT NTN.
R1-2405579,38.212-h80,Technical Specification,Rel-17 version of TS38.212 with clauses 7.3.1.1.2/7.3.1.1.3.
R1-2409373,RAN1#117,Meeting Conclusion,Unified TCI framework agreements
R1-2407585,RP-242399,Work Item Scope,Defines scope for AI/ML in NR Air Interface WI
R1-2401494,TR 38.901,Baseline Model,Channel model framework baseline for frequencies 0.5-100GHz
R1-2402777,38.213,Procedural Reference,PSFCH resource allocation procedures
