agenda_id,release,topic,description
9.7.2,"August 19-23, 2024",ISAC Channel Modeling,"Discussion on channel modeling approaches for Integrated Sensing and Communication systems, including RCS characterization and target classification."
9.2.2,Rel-19,CSI Enhancements,"Discussion on Type-I/II codebook refinements, CRI-based CSI, and CJT calibration reporting for Rel-19."
9.1.3.1,Rel-19,AI/ML-based CSI Prediction,"Discussion on performance evaluation, complexity analysis, and model monitoring aspects for AI/ML-based CSI prediction compared to non-AI/ML approaches"
9.1.2,Rel-19,Specification Support for AI/ML Positioning Accuracy Enhancement,"Discussion on measurement reporting methods, training data collection, and model monitoring frameworks for AI/ML-based positioning."
9.3.3,Rel-18,CLI handling for SBFD operation,"Discussion on UL resource muting configurations, L1/L3 CLI measurement frameworks, and standardization impacts for SBFD enhancements."
9.3.1,Rel-19,Evolution of NR duplex operation,"Discussion on SBFD configuration methods, transmission/reception procedures, and measurement enhancements for Rel-19"
8.1,Rel-18,SRS Enhancements,"Discussion on maintenance issues for SRS enhancements under the Rel-18 Work Item 'MIMO Evolution for Downlink and Uplink', focusing on RRC parameter alignment and power scaling for TDMed SRS symbols."
9.2.4,Rel-19,Enhancements for asymmetric DL/UL scenarios,"Discussion of power control enhancements for heterogeneous networks with macro/micro node deployments, including pathloss offset configurations and TCI state management"
9.4.2.2,Rel-19,Frame structure and timing aspects for Ambient IoT,"Discussion of synchronization mechanisms, random access procedures, timing relationships, and energy harvesting impacts for Ambient IoT systems"
9.7.2,Rel-18,ISAC Channel Modelling,Discussion on channel modelling methodologies for Integrated Sensing and Communication systems.
NR_SL_enh2-Core,,,Discussion of enhancements for NR sidelink core specifications
9.3.2,Rel-19,SBFD random access operation,Discussion on configuration options and implementation aspects for random access in subband full duplex operation
9.11.5,Rel-19,Discussion on IoT-NTN TDD Mode,"Evaluation of TDD mode design for IoT-NTN, focusing on DL synchronization, system information acquisition, and coexistence with Iridium's TDMA structure."
9.1.3.2,Release-19,AI/ML for CSI Compression,"Discussion on enhancing CSI feedback through AI/ML-based compression techniques, including temporal domain extensions and inter-vendor collaboration solutions."
9.4.2.3,Rel-19,Downlink and uplink channel/signal aspects,"Design details for Ambient IoT physical channels including preamble structures, PRDCH/PDRCH generation, and proximity determination methods"
9.11.1,Release 19,Non-Terrestrial Networks (NTN) for NR Phase 3,"Discussion on downlink coverage enhancements for NTN, including SSB periodicity extension, beam hopping trade-offs, and backward compatibility impacts."
9.1.1,Release 19,AI/ML Beam Management,"Enhancements for AI/ML-based beam management including data collection, model inference, and performance monitoring specifications"
9.1.2,Rel-18,Design for AI/ML based positioning,"Discussion on reference time definitions, training data collection strategies, and performance monitoring for AI/ML positioning models in 3GPP systems"
9.3.2,Rel-19,SBFD random access operation,"Detailed discussion on RACH configuration options, PRACH resource determination, power control, and message enhancements for SBFD operation"
8.12.1,Rel-18,UE features for NR MIMO evolution,"Discussion and agreements on UE capability features for NR MIMO enhancements including TCI framework, codebook enhancements, DMRS configurations, and UL power management"
9.5.1,Rel-19,On-demand SSB SCell operation,Discussion of procedures and signaling methods for energy-efficient SSB transmission in SCells
9.5.1,Rel-19,On-demand SSB SCell Operation,"Discussion on techniques to enable energy-efficient SSB transmission in SCells through UE-triggered mechanisms, configurations, and deployment scenarios."
NR_pos_enh2-Core,,Positioning Parameter Clarifications,Discussion of RRC parameter issues for NR positioning enhancements
9.5.2,Release 19,On-demand SIB1 for IDLE/INACTIVE mode UEs,"Discussion on procedures and signaling methods to support on-demand SIB1 acquisition, including UL WUS triggering, configuration provisioning, and inter-gNB coordination."
9.5.3,Rel-19,Network Energy Savings Techniques,Discussion on adaptation mechanisms for SSB/PRACH transmissions and Cell DTX extensions to improve gNB energy efficiency
9.1.3,Release 18,Specification support for CSI prediction,Discussion on maintaining consistency between training/inference phases for UE-side AI/ML models in CSI prediction
9.1.3.1,Rel-18,Type-2 HARQ-ACK codebook in physical uplink control channel,Handling of HARQ-ACK information for DCI format 1_3 detected prior to active BWP changes
9.3.2,Rel-19,SBFD PRACH Operations,Discussion on PRACH resource configuration and UE behavior in subband full duplex scenarios
9.1.3.2,Release 18,Study of AI/ML for CSI Compression,Discussion on standardization approaches for AI/ML-based CSI compression techniques and inter-vendor collaboration mechanisms
8.2.1,Rel-18,UE features for other Rel-18 work items (Topics A),"Discussion of UE features including sidelink, MC enhancements, eRedCap, XR, CovEnh, dedicated spectrum <5MHz, eDSS, and MBS"
9.4.2.2,Rel-19,Frame structure and timing aspects,"Discussion on synchronization signals, R2D/D2R timing relationships, random access resource allocation, and device unavailability impacts."
9.6.1,Release 19,LP-WUS and LP-SS Design,"Discussion on physical layer design aspects for low-power wake-up signals and synchronization signals in NR networks, including waveform selection, payload structure, synchronization requirements, and performance evaluations."
9.2.1,Rel-19,Enhancements for UE-initiated/event-driven beam management,"Discussion of beam reporting procedures, triggering events, and measurement configurations for improved beam management in NR"
NR_SmallData_INACTIVE-Core,,Small Data in INACTIVE State,Agenda item for Small Data Transmission enhancements in RRC_INACTIVE
NR_FeMIMO,,Unified TCI framework clarifications,Discussion on PDSCH reception behavior under unified TCI framework
8.1.4,Rel-18,Sidelink Resource Allocation Procedures,Discussion of UE procedures for resource selection in sidelink communication mode 2
8.1,Release 18,Further NR Mobility Enhancements,Maintenance updates for Rel-18 mobility features including LTM enhancements and associated signaling procedures
8.1,Rel-18,Mobility Enhancement Maintenance,"Adoption of technical proposals and CRs for Rel-18 mobility enhancements including power control adjustments, CSI processing criteria, PRACH sequence generation, and TCI state management."
8.4,Rel18,IoT NTN Enhancements,"Discussion on GNSS measurement gap configuration, TA handling post-GNSS reacquisition, and network-triggered vs. autonomous measurement dependencies."
9.1.1,Rel-19,Specification support for beam management,"Discussion on AI/ML integration for beam management specifications, including monitoring phases, Set A/B configurations, and quantization enhancements."
8.1,Rel-18,PRACH Configuration Handling,Discussion on PRACH mask index handling for MSG1 repetition in Rel-18 specifications
NR_SmallData_INACTIVE,Rel-18,Small Data Transmission in RRC_INACTIVE,Discussion of enhancements for small data transmission procedures while UE remains in RRC_INACTIVE state
9.10.1,Release 18,Enabling TX/RX for XR during RRM measurements,Discussion on dynamic vs semi-static solutions for skipping measurement gaps to maintain XR service continuity while preserving mobility performance
9.4.2.3,"Maastricht, NL, August 19th – 23rd, 2024",Downlink and Uplink Channel/Signal Aspects,"Physical layer design considerations for Ambient IoT including waveform design, synchronization signals, channel coding, and resource allocation mechanisms"
9.1.1,R19,Mobility Enhancement,Discussions on mobility enhancements for Release 19.
8.2,R18,Positioning MAC Agreements,Discussion on MAC layer specifications for R18 positioning enhancements including SL-PRS timing parameters and SRS bandwidth aggregation
9.3.2,Rel-19,SBFD random access operation,Specification of SBFD operation for random access in connected/idle modes
9.4.1.1,Rel-19,Ambient IoT Evaluation Methodology,"Discussion on evaluation assumptions for coverage, coexistence, and device architectures for Ambient IoT in NR"
9.3.3,Rel-19,CLI handling for NR duplex evolution,Down-selection of CLI mitigation schemes for gNB-to-gNB and UE-to-UE interference
9.4.1.1,Rel-19,Ambient IoT Evaluation Assumptions,"Discussion on coverage, coexistence, link budget, and design targets for Ambient IoT devices, including use cases and KPIs."
PSFCH_PowerControl,,PSFCH Power Control Design,Discussion on power control mechanisms for PSFCH in NR Sidelink.
9.2.2,Rel-19,CSI Enhancements,"Discussion on enhancements for CSI reporting including codebook extensions, multi-resource configurations, and CJT support"
8.12.3,Rel-18,UE features for expanded and improved NR positioning,"Discussion of UE capability enhancements for NR positioning including SL-PRS processing, SRS bandwidth aggregation, and measurement reporting mechanisms"
9.8.1,Rel-19,Channel model validation for 7-24GHz,"Discussion on validation of TR38.901 channel model parameters including delay spread characteristics, channel sparsity, spatial consistency, and penetration loss models through measurement campaigns in UMa and indoor scenarios."
8.2.1,Rel-18,UE features for MC enhancements,"Discussion on feature enhancements for multi-carrier operation including DCI-based scheduling, BWP management, and beam coordination"
9.4.2.3,Rel-19,Downlink and uplink channel/signal aspects,"Discussion on physical layer design aspects including payload structures, resource allocation, and proximity determination for Ambient IoT"
9.4.2.4,Rel-19,Waveform characteristics of carrier-wave,"Discussion on physical layer design aspects for ambient IoT including waveform selection, interference management, and power control mechanisms"
9.11.1,Rel-19,Downlink Coverage Enhancements for NR NTN,Evaluation of system-level and link-level enhancements for NR NTN downlink coverage including beam hopping techniques and SSB periodicity extensions
9.10.1,Rel-19,Enabling TX/RX for XR during RRM measurements,"Discussion on adapting RRM measurements (e.g., measurement gaps, SMTC scheduling restrictions) to avoid disrupting latency-sensitive XR traffic."
NR_MC_Enh-Core,Rel-18,BWP Switching Procedures,Clarification of UE behavior during BWP transitions for multi-cell scheduling using DCI formats 0_3/1_3
9.7.2,18,ISAC Channel Modeling,Discussion on channel modeling approaches for Integrated Sensing and Communication systems
9.3.3,Rel-19,CLI handling for SBFD operation,Discussion on cross-link interference mitigation techniques for sub-band full duplex systems
